Year,m,d,Time,Time zone,Air temperature (degC),Global radiation (W/m2)
2021,5,4,2:50,UTC,0.9,36.6
2021,5,4,3:00,UTC,1.1,47.4
2021,5,4,3:10,UTC,1.5,63
2021,5,4,3:20,UTC,1.7,78.6
2021,5,4,3:30,UTC,2,96
2021,5,4,3:40,UTC,2.5,117.7
2021,5,4,3:50,UTC,3,152.8
2021,5,4,4:00,UTC,3.5,202.3
2021,5,4,4:10,UTC,3.5,210.2
2021,5,4,4:20,UTC,3.6,236.3
2021,5,4,4:30,UTC,4,275.2
2021,5,4,4:40,UTC,3.9,272.6
2021,5,4,4:50,UTC,4.4,316
2021,5,4,5:00,UTC,4.3,359
2021,5,4,5:10,UTC,4.7,377.5
2021,5,4,5:20,UTC,4.3,384.5
2021,5,4,5:30,UTC,4.8,424.8
2021,5,4,5:40,UTC,4.8,380.2
2021,5,4,5:50,UTC,5,412.9
2021,5,4,6:00,UTC,5.4,471
2021,5,4,6:10,UTC,5.1,361.6
2021,5,4,6:20,UTC,5.4,382.9
2021,5,4,6:30,UTC,5.6,473.7
2021,5,4,6:40,UTC,5.7,347.6
2021,5,4,6:50,UTC,6,365.8
2021,5,4,7:00,UTC,6.4,459.5
2021,5,4,7:10,UTC,6.8,576.1
2021,5,4,7:20,UTC,7.1,603.8
2021,5,4,7:30,UTC,7.7,586.9
2021,5,4,7:40,UTC,7.7,660.4
2021,5,4,7:50,UTC,7.8,745.3
2021,5,4,8:00,UTC,8.5,676.6
2021,5,4,8:10,UTC,8.3,505.8
2021,5,4,8:20,UTC,7.8,468.9
2021,5,4,8:30,UTC,8.1,533.9
2021,5,4,8:40,UTC,8.1,677.9
2021,5,4,8:50,UTC,8.2,720.8
2021,5,4,9:00,UTC,8.4,650.5
2021,5,4,9:10,UTC,8.8,640
2021,5,4,9:20,UTC,8.7,655.2
2021,5,4,9:30,UTC,9.1,648.8
2021,5,4,9:40,UTC,9.1,628.7
2021,5,4,9:50,UTC,9,626.2
2021,5,4,10:00,UTC,8.3,488.8
2021,5,4,10:10,UTC,8.2,578.9
2021,5,4,10:20,UTC,9,724.4
2021,5,4,10:30,UTC,9.2,791.1
2021,5,4,10:40,UTC,9,744.7
2021,5,4,10:50,UTC,9.2,599.9
2021,5,4,11:00,UTC,9.5,402.2
2021,5,4,11:10,UTC,8.9,553.2
2021,5,4,11:20,UTC,9,495.1
2021,5,4,11:30,UTC,9.2,517.3
2021,5,4,11:40,UTC,8.9,406.6
2021,5,4,11:50,UTC,8.9,405.5
2021,5,4,12:00,UTC,8.4,315.3
2021,5,4,12:10,UTC,8.9,391.5
2021,5,4,12:20,UTC,9.2,476.4
2021,5,4,12:30,UTC,8.6,487.3
2021,5,4,12:40,UTC,8.9,281.9
